Accident Type Desc,ACCIDENTDATE,ACCIDENTTIME,Day Week Description,DAY_OF_WEEK,DCA Description,DCA_CODE,Deg Urban Name,DIRECTORY,GRID_REFERENCE_X,LGA_NAME,Light Condition Desc,NODE_ID,NODE_ID (NODE.csv),NODE_TYPE,PAGE,Postcode No,Region Name,Road Geometry Desc,ACCIDENT_NO,ACCIDENT_NO (NODE.csv),ACCIDENT_TYPE,AMG_X,AMG_Y,EDITION,GRID_REFERENCE_Y,Lat,LIGHT_CONDITION,Long,NO_OF_VEHICLES,NO_PERSONS,NO_PERSONS_INJ_2,NO_PERSONS_INJ_3,NO_PERSONS_KILLED,NO_PERSONS_NOT_INJ,POLICE_ATTEND,ROAD_GEOMETRY,SEVERITY,SPEED_ZONE
Collision with a fixed object,3/01/2005,14.00.00,Monday,2,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE          ,183,Country,VCS,G,YARRA RANGES,Day,195052,195052,N,429,3777,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005000779,42005000779,4,2543135.159,2434425.939,9,8,-37.58993,1,145.48845,1,1,0,0,1,0,1,5,1,100
Collision with vehicle,3/01/2005,16.50.00,Monday,2,REAR END(VEHICLES IN SAME LANE)               ,130,Metropolitan Excluding CBD,MEL,K,YARRA RANGES,Day,194533,194533,N,74,3158,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005001529,42005001529,1,2528971.023,2399731.496,40,8,-37.90308,1,145.32942,2,2,0,1,0,1,2,5,3,50
Collision with vehicle,3/01/2005,00.00.00,Monday,2,U TURN                           ,140,Small Provincial Cities,VCS,O,WODONGA,Dark Street lights on,54354,54354,I,653,3691,NORTH EASTERN REGION,Cross intersection,42005001543,42005001543,1,2670625.358,2597433.78,9,2,-36.10657,3,146.89513,2,2,0,1,0,1,1,1,3,80
Collision with vehicle,3/01/2005,15.15.00,Monday,2,RIGHT NEAR (INTERSECTIONS ONLY)               ,113,Metropolitan Excluding CBD,MEL,J,KNOX,Day,46695,46695,I,81,3178,METROPOLITAN SOUTH EAST REGION,T intersection,42005001742,42005001742,1,2520575.951,2397573.615,40,2,-37.92275,1,145.23402,2,5,0,5,0,0,1,2,3,80
Collision with vehicle,3/01/2005,15.55.00,Monday,2,REAR END(VEHICLES IN SAME LANE)               ,130,Other Towns,MEL,G,SURF COAST,Day,194587,194587,N,518,3232,SOUTH WESTERN REGION,Not at intersection,22005001425,22005001425,1,2410590.328,2328874.787,40,7,-38.53749,1,143.97471,2,3,0,1,0,2,2,5,3,50
Collision with a fixed object,3/01/2005,15.15.00,Monday,2,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,173,Metropolitan Excluding CBD,MEL,H,BRIMBANK,Day,194631,194631,N,26,3020,METROPOLITAN NORTH WEST REGION,T intersection,22005001791,22005001791,4,2485117.465,2415335.697,40,6,-37.76282,1,144.83109,1,1,1,0,0,0,1,2,2,60
Collision with a fixed object,3/01/2005,21.40.00,Monday,2,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Country,VCS,F,SURF COAST,Dark Street lights on,57687,57687,I,93,3228,SOUTH WESTERN REGION,Y intersection,22005001820,22005001820,4,2435525.747,2351153.981,9,7,-38.33891,3,144.26262,1,2,0,1,0,1,1,3,3,70
Collision with vehicle,3/01/2005,16.10.00,Monday,2,REAR END(VEHICLES IN SAME LANE)               ,130,Small Provincial Cities,VCS,K,WARRNAMBOOL,Day,194538,194538,N,514,3280,SOUTH WESTERN REGION,Not at intersection,22005002078,22005002078,1,2280151.647,2342841.109,9,9,-38.38986,1,142.48364,4,9,0,1,0,8,1,5,3,50
Collision with vehicle,3/01/2005,13.00.00,Monday,2,RIGHT THROUGH                        ,121,Country,MEL,H,SURF COAST,Unknown,53695,53695,I,514,3230,SOUTH WESTERN REGION,Cross intersection,22005003863,22005003863,1,2429927.771,2344399.265,40,4,-38.39934,9,144.19794,2,2,1,0,0,1,2,1,2,80
Collision with vehicle,3/01/2005,13.00.00,Monday,2,RIGHT THROUGH                        ,121,Other Towns,MEL,H,SURF COAST,Unknown,53695,53695,I,514,3230,SOUTH WESTERN REGION,Cross intersection,22005003863,22005003863,1,2429927.771,2344399.265,40,4,-38.39934,9,144.19794,2,2,1,0,0,1,2,1,2,80
Collision with vehicle,3/01/2005,11.45.00,Monday,2,RIGHT NEAR (INTERSECTIONS ONLY)               ,113,Metropolitan Excluding CBD,MEL,D,KINGSTON,Day,57585,57585,I,77,3189,METROPOLITAN SOUTH EAST REGION,T intersection,12005001490,12005001490,1,2503228.365,2396142.831,40,5,-37.93586,1,145.03672,2,4,0,4,0,0,1,2,3,80
Collision with vehicle,3/01/2005,21.40.00,Monday,2,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,110,Metropolitan Excluding CBD,MEL,D,MELBOURNE,Dark Street lights on,29466,29466,I,2L,3181,METROPOLITAN SOUTH EAST REGION,Cross intersection,12005001592,12005001592,1,2498609.624,2405598.928,40,11,-37.85067,3,144.9842,3,8,1,5,0,2,1,1,2,60
Collision with a fixed object,3/01/2005,16.30.00,Monday,2,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Metropolitan Excluding CBD,MEL,C,MELBOURNE,Day,194602,194602,N,2A,3051,METROPOLITAN NORTH WEST REGION,Not at intersection,12005001991,12005001991,4,2494394.28,2411287.497,40,7,-37.7994,1,144.93635,1,1,1,0,0,0,2,5,2,60
No collision and no object struck,3/01/2005,17.15.00,Monday,2,OUT OF CONTROL ON CARRIAGEWAY (ON STRAIGHT)         ,174,Metropolitan Excluding CBD,MEL,E,MELBOURNE,Day,36287,36287,I,2B,3053,METROPOLITAN NORTH WEST REGION,Cross intersection,12005003448,12005003448,8,2496862.573,2410465.536,40,12,-37.80681,1,144.96437,1,1,1,0,0,0,2,1,2,60
Vehicle overturned (no collision),3/01/2005,14.30.00,Monday,2,OFF CARRIAGEWAY ON LEFT BEND                ,182,Country,VCS,J,BAW BAW,Day,194562,194562,N,81,3825,EASTERN REGION,Not at intersection,52005001424,52005001424,6,2626894.621,2393426.151,9,9,-37.95167,1,146.44386,1,1,0,1,0,0,2,5,3,100
Collision with vehicle,3/01/2005,22.25.00,Monday,2,HEAD ON (NOT OVERTAKING)                  ,120,Metropolitan Excluding CBD,MEL,K,CASEY,Dark Street lights on,194507,194507,N,129,3977,METROPOLITAN SOUTH EAST REGION,Not at intersection,52005001699,52005001699,1,2525134.406,2379722.352,40,10,-38.08346,3,145.28648,2,5,0,3,0,2,1,5,3,80
Collision with vehicle,3/01/2005,16.30.00,Monday,2,HEAD ON (NOT OVERTAKING)                  ,120,Country,VCS,E,BASS COAST,Day,194593,194593,N,469,3995,EASTERN REGION,Not at intersection,52005002101,52005002101,1,2538570.136,2330443.228,9,12,-38.52689,1,145.44223,2,5,0,2,0,3,1,5,3,100
Collision with vehicle,3/01/2005,14.10.00,Monday,2,VEHICLE OFF FOOTPATH STRIKES VEH ON CARRIAGEWAY,148,Metropolitan Excluding CBD,MEL,B,FRANKSTON,Day,43408,43408,I,100,3200,METROPOLITAN SOUTH EAST REGION,T intersection,52005002303,52005002303,1,2514003.58,2375878.52,40,7,-38.11832,1,145.15969,2,2,1,0,0,1,1,2,2,60
Collision with vehicle,3/01/2005,17.40.00,Monday,2,RIGHT REAR.                         ,132,Metropolitan Excluding CBD,MEL,H,FRANKSTON,Day,54369,54369,I,103,3910,METROPOLITAN SOUTH EAST REGION,T intersection,52005002533,52005002533,1,2516575.345,2370974.548,40,7,-38.16246,1,145.18912,2,2,1,1,0,0,1,2,2,60
Vehicle overturned (no collision),3/01/2005,16.15.00,Monday,2,OUT OF CONTROL ON CARRIAGEWAY (ON BEND)           ,184,Country,VCS,C,BAW BAW,Day,194746,194746,N,81,3833,EASTERN REGION,Not at intersection,52005002997,52005002997,6,2596353.517,2400685.414,9,8,-37.88994,1,146.09544,1,1,1,0,0,0,1,5,2,100
Vehicle overturned (no collision),3/01/2005,21.20.00,Monday,2,OFF CARRIAGEWAY ON RIGHT BEND                ,180,Country,VCS,E,SOUTH GIPPSLAND,Dark No street lights,194747,194747,N,96,3988,EASTERN REGION,Not at intersection,52005003033,52005003033,6,2568575.282,2354073.732,9,6,-38.31231,5,145.78401,1,1,1,0,0,0,1,5,2,100
Struck Pedestrian,3/01/2005,09.50.00,Monday,2,PED NEAR SIDE. PED HIT BY VEHICLE FROM THE RIGHT.      ,100,Metropolitan Excluding CBD,MEL,B,MORNINGTON PENINSULA,Day,1252,1252,I,157,3943,METROPOLITAN SOUTH EAST REGION,T intersection,52005003193,52005003193,2,2477596.621,2351420.258,40,7,-38.33848,1,144.74378,1,2,1,0,0,1,1,2,2,60
Collision with vehicle,3/01/2005,14.15.00,Monday,2,RIGHT NEAR (INTERSECTIONS ONLY)               ,113,Country,VCS,E,SOUTH GIPPSLAND,Day,20872,20872,I,96,3951,EASTERN REGION,T intersection,52005003918,52005003918,1,2568338.153,2333856.137,9,9,-38.49443,1,145.7832,2,3,0,2,0,1,1,2,3,100
Collision with vehicle,3/01/2005,15.05.00,Monday,2,HEAD ON (NOT OVERTAKING)                  ,120,Country,MEL,F,MORNINGTON PENINSULA,Day,195013,195013,N,190,3916,METROPOLITAN SOUTH EAST REGION,Not at intersection,52005004972,52005004972,1,2499986.432,2344432.784,40,12,-38.4017,1,144.99984,2,3,1,0,0,2,1,5,2,100
No collision and no object struck,3/01/2005,15.05.00,Monday,2,OFF CARRIAGEWAY ON LEFT BEND                ,182,Metropolitan Excluding CBD,MEL,K,YARRA RANGES,Day,222081,222081,N,52,3765,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005017241,42005017241,8,2532754.816,2410076.159,40,7,-37.80975,1,145.37199,1,1,1,0,0,0,1,5,2,70
Collision with vehicle,4/01/2005,08.30.00,Tuesday,3,HEAD ON (NOT OVERTAKING)                  ,120,Small Provincial Cities,VCS,J,SHEPPARTON,Day,24993,24993,N,674,3631,NORTH EASTERN REGION,Not at intersection,32005001849,32005001849,1,2533275.166,2566425.186,9,2,-36.40076,1,145.37098,2,2,0,2,0,0,2,5,3,80
Vehicle overturned (no collision),4/01/2005,14.00.00,Tuesday,3,OFF CARRIAGEWAY TO LEFT                   ,170,Country,VCS,J,MILDURA,Day,194617,194617,N,11,3490,WESTERN REGION,Not at intersection,32005001930,32005001930,6,2269550.572,2712042.047,9,2,-35.06154,1,142.47444,1,3,2,1,0,0,1,5,2,100
Collision with vehicle,4/01/2005,15.25.00,Tuesday,3,RIGHT THROUGH                        ,121,Metropolitan Excluding CBD,MEL,G,MORELAND,Day,35712,35712,I,29,3056,METROPOLITAN NORTH WEST REGION,Cross intersection,32005002166,32005002166,1,2496663.152,2414878.91,40,7,-37.76705,1,144.96213,5,8,0,2,0,6,1,1,3,60
Collision with vehicle,4/01/2005,23.49.00,Tuesday,3,RIGHT NEAR (INTERSECTIONS ONLY)               ,113,Metropolitan Excluding CBD,MEL,B,WHITTLESEA,Dark Street lights on,38172,38172,I,9,3074,METROPOLITAN NORTH WEST REGION,T intersection,32005006757,32005006757,1,2502330.66,2424356.234,40,8,-37.68166,3,145.02642,2,3,3,0,0,0,1,2,2,50
Collision with vehicle,4/01/2005,08.30.00,Tuesday,3,REAR END(VEHICLES IN SAME LANE)               ,130,Country,MEL,F,YARRA RANGES,Day,194510,194510,N,285,3139,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005001675,42005001675,1,2542909.82,2413789.472,40,10,-37.77588,1,145.48709,2,2,0,1,0,1,2,5,3,80
Collision with a fixed object,4/01/2005,10.45.00,Tuesday,3,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,181,Metropolitan Excluding CBD,MEL,C,KNOX,Day,194501,194501,N,65,3156,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005001726,42005001726,4,2526128.665,2403294.036,40,12,-37.87107,1,145.29698,1,1,0,1,0,0,1,5,3,60
Collision with vehicle,4/01/2005,16.30.00,Tuesday,3,REAR END(VEHICLES IN SAME LANE)               ,130,Metropolitan Excluding CBD,MEL,H,MONASH,Day,29854,29854,I,70,3150,METROPOLITAN SOUTH EAST REGION,Cross intersection,42005001732,42005001732,1,2512690.235,2400793.027,40,6,-37.89388,1,145.14428,3,5,0,3,0,2,1,1,3,70
Collision with vehicle,4/01/2005,14.55.00,Tuesday,3,LANE CHANGE RIGHT (NOT OVERTAKING)             ,134,Metropolitan Excluding CBD,MEL,J,DANDENONG,Day,194620,194620,N,79,3171,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005001898,42005001898,1,2512846.822,2397195.665,40,3,-37.92629,1,145.14612,3,7,0,1,0,6,1,5,3,80
Collision with a fixed object,4/01/2005,15.30.00,Tuesday,3,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Metropolitan Excluding CBD,MEL,F,KNOX,Day,194568,194568,N,73,3156,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005002029,42005002029,4,2523566.277,2401726.105,40,4,-37.88526,1,145.2679,1,4,0,3,0,1,1,5,3,80
Collision with vehicle,4/01/2005,12.00.00,Tuesday,3,REAR END(VEHICLES IN SAME LANE)               ,130,Metropolitan Excluding CBD,MEL,K,YARRA RANGES,Day,194563,194563,N,75,3791,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005002157,42005002157,1,2532689.594,2402080.576,40,3,-37.88179,1,145.3716,2,2,0,1,0,1,2,5,3,50
Collision with vehicle,4/01/2005,20.40.00,Tuesday,3,REAR END(VEHICLES IN SAME LANE)               ,130,Metropolitan Excluding CBD,MEL,F,MANNINGHAM,Dark Street lights on,194549,194549,N,48,3111,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005002244,42005002244,1,2515677.84,2410845.213,40,5,-37.80327,3,145.17803,2,4,1,0,0,3,1,5,2,80
Collision with vehicle,4/01/2005,11.40.00,Tuesday,3,LEFT REAR                          ,131,Metropolitan Excluding CBD,MEL,F,BANYULE,Day,35331,35331,I,20,3088,METROPOLITAN NORTH WEST REGION,Cross intersection,42005002250,42005002250,1,2507920.838,2421965.546,40,2,-37.70317,1,145.08983,2,3,0,1,0,2,2,1,3,80
Vehicle overturned (no collision),4/01/2005,14.30.00,Tuesday,3,OFF CARRIAGEWAY TO RIGHT                  ,172,Country,VCS,B,ALPINE,Day,194701,194701,N,36,3691,NORTH EASTERN REGION,Not at intersection,42005002266,42005002266,6,2682567.932,2563668.199,9,8,-36.4086,1,147.03576,1,1,0,1,0,0,1,5,3,100
Collision with vehicle,4/01/2005,11.20.00,Tuesday,3,REAR END(VEHICLES IN SAME LANE)               ,130,Metropolitan Excluding CBD,MEL,G,BOROONDARA,Day,39202,39202,I,46,3127,METROPOLITAN SOUTH EAST REGION,T intersection,42005002275,42005002275,1,2508233.91,2408387.947,40,11,-37.8255,1,145.09353,4,5,0,1,0,4,1,2,3,60
Collision with a fixed object,4/01/2005,20.20.00,Tuesday,3,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE          ,183,Country,VCS,D,ALPINE,Day,24999,24999,N,49,3740,NORTH EASTERN REGION,Not at intersection,42005002284,42005002284,4,2651411.737,2508334.735,9,8,-36.91271,1,146.69944,1,1,0,1,0,0,2,5,3,100
Collision with a fixed object,4/01/2005,21.20.00,Tuesday,3,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Metropolitan Excluding CBD,MEL,G,KNOX,Dark Street lights on,194688,194688,N,64,3153,METROPOLITAN SOUTH EAST REGION,Not at intersection,42005002285,42005002285,4,2523928.599,2406911.101,40,3,-37.83854,3,145.27185,1,1,0,1,0,0,1,5,3,70
Collision with vehicle,4/01/2005,13.50.00,Tuesday,3,RIGHT THROUGH                        ,121,Metropolitan Excluding CBD,MEL,K,WHITEHORSE,Day,40762,40762,I,61,3151,METROPOLITAN SOUTH EAST REGION,Cross intersection,42005002434,42005002434,1,2513369.715,2405357.781,40,7,-37.85274,1,145.15192,2,5,0,2,0,3,1,1,3,70
Collision with a fixed object,4/01/2005,21.30.00,Tuesday,3,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,181,Country,MEL,J,MANNINGHAM,Dark No street lights,54380,54380,I,35,3134,METROPOLITAN SOUTH EAST REGION,T intersection,42005002809,42005002809,4,2520591.087,2415398.524,40,6,-37.76215,5,145.2337,1,2,0,1,0,1,1,2,3,70
Collision with vehicle,4/01/2005,21.00.00,Tuesday,3,REAR END(VEHICLES IN SAME LANE)               ,130,Metropolitan Excluding CBD,MEL,B,BANYULE,Dark Street lights on,44644,44644,I,20,3083,METROPOLITAN NORTH WEST REGION,T intersection,42005004364,42005004364,1,2506300.66,2422178.101,40,1,-37.70127,3,145.07145,2,3,0,1,0,2,2,2,3,60
Collision with vehicle,4/01/2005,17.45.00,Tuesday,3,RIGHT NEAR (INTERSECTIONS ONLY)               ,113,Metropolitan Excluding CBD,MEL,J,MONASH,Day,29661,29661,I,69,3166,METROPOLITAN SOUTH EAST REGION,T intersection,42005004803,42005004803,1,2508872.759,2398990.663,40,10,-37.91016,1,145.1009,2,2,0,1,0,1,1,2,3,60
Collision with a fixed object,4/01/2005,19.30.00,Tuesday,3,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Country,VCS,F,CORANGAMITE,Dusk/Dawn,194634,194634,N,100,3269,SOUTH WESTERN REGION,Not at intersection,22005001785,22005001785,4,2324016.689,2321942.582,9,9,-38.58745,2,142.98047,1,1,1,0,0,0,1,5,2,100
Collision with vehicle,4/01/2005,12.30.00,Tuesday,3,RIGHT THROUGH                        ,121,Metropolitan Excluding CBD,MEL,E,MARIBYRNONG,Day,140,140,I,2S,3011,METROPOLITAN NORTH WEST REGION,Cross intersection,22005001946,22005001946,1,2490953.855,2411273.015,40,8,-37.7995,1,144.89728,2,2,1,0,0,1,1,1,2,40
Collision with a fixed object,4/01/2005,20.00.00,Tuesday,3,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,173,Country,VCS,F,PYRENEES,Dark No street lights,194567,194567,N,57,3373,WESTERN REGION,Not at intersection,22005002167,22005002167,4,2345594.376,2460328.755,9,7,-37.34477,5,143.2571,1,1,1,0,0,0,1,5,2,100
Struck Pedestrian,4/01/2005,22.55.00,Tuesday,3,FAR SIDE. PED HIT BY VEHICLE FROM THE LEFT         ,102,Metropolitan Excluding CBD,MEL,K,MARIBYRNONG,Dark Street lights on,194572,194572,N,27,3032,METROPOLITAN NORTH WEST REGION,Not at intersection,22005002173,22005002173,2,2489782.491,2413027.941,40,12,-37.78368,3,144.884,1,2,0,1,0,1,1,5,3,60
Collision with vehicle,4/01/2005,18.15.00,Tuesday,3,HEAD ON (NOT OVERTAKING)                  ,120,Country,VCS,B,CORANGAMITE,Day,194724,194724,N,91,3266,SOUTH WESTERN REGION,Not at intersection,22005002516,22005002516,1,2325507.495,2340368.082,9,8,-38.42181,1,143.00201,2,2,1,1,0,0,1,5,2,100
No collision and no object struck,4/01/2005,15.00.00,Tuesday,3,OFF CARRIAGEWAY TO LEFT                   ,170,Large Provincial Cities,MEL,J,GEELONG,Day,157113,157113,N,432,3214,SOUTH WESTERN REGION,Not at intersection,22005002928,22005002928,8,2446553.177,2383043.811,40,1,-38.05234,1,144.39106,1,2,0,2,0,0,2,5,3,80
Collision with a fixed object,4/01/2005,20.30.00,Tuesday,3,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Country,VCS,M,SURF COAST,Dusk/Dawn,194707,194707,N,525,3241,SOUTH WESTERN REGION,Not at intersection,22005003075,22005003075,4,2410879.512,2361288.34,9,3,-38.24557,2,143.982,1,3,3,0,0,0,1,5,2,80
Vehicle overturned (no collision),4/01/2005,09.00.00,Tuesday,3,OUT OF CONTROL ON CARRIAGEWAY (ON BEND)           ,184,Metropolitan Excluding CBD,MEL,F,MELBOURNE,Day,29388,29388,I,2B,3054,METROPOLITAN NORTH WEST REGION,Multiple intersection,12005001395,12005001395,6,2496935.45,2411982.377,40,4,-37.79315,1,144.9652,2,2,0,1,0,1,2,4,3,60
Collision with a fixed object,4/01/2005,05.45.00,Tuesday,3,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Metropolitan Excluding CBD,MEL,F,KINGSTON,Dusk/Dawn,194525,194525,N,93,3196,METROPOLITAN SOUTH EAST REGION,Not at intersection,12005001593,12005001593,4,2511849.364,2385895.698,40,6,-38.02811,2,145.13496,1,1,0,1,0,0,1,5,3,100
Collision with vehicle,4/01/2005,13.58.00,Tuesday,3,VEHICLE STRIKES DOOR OF PARKED/STATIONARY VEHICLE      ,163,Metropolitan Excluding CBD,MEL,E,MELBOURNE,Day,194614,194614,N,2F,3000,METROPOLITAN NORTH WEST REGION,Not at intersection,12005001950,12005001950,1,2496802.332,2410190.052,40,1,-37.8093,1,144.96369,2,4,0,1,0,3,1,5,3,50
Collision with a fixed object,4/01/2005,23.00.00,Tuesday,3,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,181,Metropolitan Excluding CBD,MEL,K,KINGSTON,Dark Street lights on,194604,194604,N,87,3202,METROPOLITAN SOUTH EAST REGION,Not at intersection,12005001982,12005001982,4,2509315.4,2392969.584,40,1,-37.96441,3,145.10601,1,1,0,1,0,0,1,5,3,60
Collision with vehicle,4/01/2005,07.30.00,Tuesday,3,LEFT NEAR (INTERSECTIONS ONLY)               ,116,Metropolitan Excluding CBD,MEL,G,KINGSTON,Day,42217,42217,I,77,3189,METROPOLITAN SOUTH EAST REGION,T intersection,12005001986,12005001986,1,2504210.819,2395367.92,40,7,-37.94284,1,145.04791,2,2,1,0,0,1,2,2,2,60
Collision with vehicle,4/01/2005,17.00.00,Tuesday,3,VEHICLE COLLIDES WITH VEHICLE PARKED ON LEFT OF ROAD    ,160,Metropolitan Excluding CBD,MEL,H,KINGSTON,Day,194574,194574,N,77,3189,METROPOLITAN SOUTH EAST REGION,Not at intersection,12005002011,12005002011,1,2504668.453,2395649.967,40,6,-37.94029,1,145.05311,2,5,0,1,0,4,1,5,3,60
Collision with a fixed object,4/01/2005,09.00.00,Tuesday,3,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Metropolitan Excluding CBD,MEL,A,DANDENONG,Day,11270,11270,O,98,3197,METROPOLITAN SOUTH EAST REGION,Cross intersection,12005002174,12005002174,4,2513557.827,2381547.608,40,5,-38.06726,1,145.1545,2,4,0,1,0,3,1,1,3,60
Collision with a fixed object,4/01/2005,09.20.00,Tuesday,3,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Metropolitan Excluding CBD,MEL,J,YARRA,Day,11171,11171,I,2C,3068,METROPOLITAN NORTH WEST REGION,Cross intersection,12005002347,12005002347,4,2499464.42,2411822.662,40,5,-37.79459,1,144.99392,5,1,0,1,0,0,1,1,3,60
Collision with a fixed object,4/01/2005,17.30.00,Tuesday,3,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Metropolitan Excluding CBD,MEL,F,DANDENONG,Day,194505,194505,N,80,3174,METROPOLITAN SOUTH EAST REGION,Not at intersection,52005001718,52005001718,4,2515737.795,2394197.901,40,10,-37.95325,1,145.17907,1,2,0,1,0,1,2,5,3,80
Collision with a fixed object,4/01/2005,16.30.00,Tuesday,3,OFF LEFT BEND INTO OBJECT/PARKED VEHICLE          ,183,Country,MEL,H,CARDINIA,Day,194652,194652,N,213,3810,METROPOLITAN SOUTH EAST REGION,Not at intersection,52005001746,52005001746,4,2539755.759,2386149.704,40,6,-38.02505,1,145.45278,1,2,0,2,0,0,1,5,3,80
Collision with a fixed object,4/01/2005,15.40.00,Tuesday,3,OFF RIGHT BEND INTO OBJECT/PARKED VEHICLE          ,181,Country,MEL,A,CARDINIA,Day,194658,194658,N,316,3810,METROPOLITAN SOUTH EAST REGION,Not at intersection,52005001748,52005001748,4,2545057.499,2387420.421,40,3,-38.01335,1,145.51309,1,1,1,0,0,0,1,5,2,100
Collision with vehicle,4/01/2005,10.35.00,Tuesday,3,CROSS TRAFFIC(INTERSECTIONS ONLY)              ,110,Small Provincial Cities,VCS,H,EAST GIPPSLAND,Day,51948,51948,I,688,3875,EASTERN REGION,Cross intersection,52005001756,52005001756,1,2730709.417,2405200.524,9,7,-37.82564,1,147.62096,2,2,0,2,0,0,1,1,3,50
Collision with a fixed object,4/01/2005,23.08.00,Tuesday,3,RIGHT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE      ,173,Country,VCS,C,BAW BAW,Dark Street lights on,194627,194627,N,97,3823,EASTERN REGION,Not at intersection,52005001811,52005001811,4,2594514.188,2365760.825,9,5,-38.20475,3,146.07903,1,3,2,1,0,0,1,5,2,110
Collision with vehicle,4/01/2005,13.10.00,Tuesday,3,RIGHT NEAR (INTERSECTIONS ONLY)               ,113,Small Provincial Cities,VCS,P,WELLINGTON,Day,52081,52081,I,693,3850,EASTERN REGION,Multiple intersection,52005001850,52005001850,1,2681314.771,2374072.044,9,8,-38.11696,1,147.0677,2,5,2,0,0,3,1,4,2,60
Collision with vehicle,4/01/2005,15.45.00,Tuesday,3,REAR END(VEHICLES IN SAME LANE)               ,130,Metropolitan Excluding CBD,MEL,A,CASEY,Day,232522,232522,N,91,3177,METROPOLITAN SOUTH EAST REGION,Not at intersection,52005001938,52005001938,1,2521650.619,2388666.109,40,12,-38.00297,1,145.24651,3,3,0,1,0,2,1,5,3,80
Collision with a fixed object,4/01/2005,08.30.00,Tuesday,3,LEFT OFF CARRIAGEWAY INTO OBJECT/PARKED VEHICLE       ,171,Other Towns,VCS,D,LATROBE,Day,194607,194607,N,702,3842,EASTERN REGION,Not at intersection,52005001976,52005001976,4,2624273.381,2353931.307,9,4,-38.30778,1,146.42075,1,2,0,1,0,1,1,5,3,70

